Year,Month,Temperature,Anomaly
1905,9,15.800,-0.370
1905,10,10.200,0.626
1905,11,2.500,0.275
1905,12,-2.500,1.408
1906,1,-7.500,0.316
1906,2,-9.600,-2.084
1906,3,-3.600,-0.996
1906,4,2.200,-2.468
1906,5,7.900,-2.708
1906,6,9.700,-4.542
1906,7,18.700,0.292
1906,8,18.600,-1.193
1906,9,14.800,-1.370
1906,10,9.700,0.126
1906,11,0.500,-1.725
1906,12,-2.500,1.408
1907,1,-6.900,0.916
1907,2,-7.100,0.416
1907,3,-4.000,-1.396
1907,4,4.500,-0.168
1907,5,8.300,-2.308
1907,6,11.300,-2.942
1907,7,15.100,-3.308
1907,8,20.900,1.107
1907,9,15.300,-0.870
1907,10,8.400,-1.174
1907,11,1.800,-0.425
1907,12,-5.900,-1.992
1908,1,-11.400,-3.584
1908,2,-9.500,-1.984
1908,3,-4.300,-1.696
1908,4,3.800,-0.868
1908,5,6.400,-4.208
1908,6,10.700,-3.542
1908,7,14.300,-4.108
1908,8,21.000,1.207
1908,9,14.300,-1.870
1908,10,9.300,-0.274
1908,11,0.900,-1.325
1908,12,-4.700,-0.792
1909,1,-10.600,-2.784
1909,2,-8.700,-1.184
1909,3,-4.900,-2.296
1909,4,5.700,1.032
1909,5,8.400,-2.208
1909,6,13.900,-0.342
1909,7,16.900,-1.508
1909,8,18.600,-1.193
1909,9,15.800,-0.370
1909,10,7.800,-1.774
1909,11,3.100,0.875
1909,12,-3.600,0.308
1910,1,-5.000,2.816
1910,2,-6.500,1.016
1910,3,-3.900,-1.296
1910,4,3.700,-0.968
1910,5,9.300,-1.308
1910,6,13.200,-1.042
1910,7,16.600,-1.808
1910,8,18.400,-1.393
1910,9,14.400,-1.770
1910,10,10.500,0.926
1910,11,2.500,0.275
1910,12,-5.600,-1.692
1911,1,-7.800,0.016
1911,2,-7.200,0.316
1911,3,-2.300,0.304
1911,4,2.700,-1.968
1911,5,10.800,0.192
1911,6,12.600,-1.642
1911,7,16.000,-2.408
1911,8,16.800,-2.993
1911,9,15.800,-0.370
1911,10,9.700,0.126
1911,11,5.000,2.775
1911,12,-3.500,0.408
1912,1,-6.000,1.816
1912,2,-6.100,1.416
1912,3,-3.100,-0.496
1912,4,2.400,-2.268
1912,5,7.400,-3.208
1912,6,11.900,-2.342
1912,7,15.800,-2.608
1912,8,18.500,-1.293
1912,9,13.500,-2.670
1912,10,8.800,-0.774
1912,11,-0.100,-2.325
1912,12,-5.800,-1.892
1913,1,-10.100,-2.284
1913,2,-7.500,0.016
1913,3,-4.500,-1.896
1913,4,4.700,0.032
1913,5,7.200,-3.408
1913,6,10.200,-4.042
1913,7,13.500,-4.908
1913,8,17.000,-2.793
1913,9,12.600,-3.570
1913,10,8.500,-1.074
1913,11,1.700,-0.525
1913,12,-3.900,0.008
1914,1,-4.400,3.416
1914,2,-6.600,0.916
1914,3,-1.000,1.604
1914,4,1.500,-3.168
1914,5,11.600,0.992
1914,6,12.400,-1.842
1914,7,17.000,-1.408
1914,8,18.000,-1.793
1914,9,15.800,-0.370
1914,10,9.900,0.326
1914,11,4.400,2.175
1914,12,-4.100,-0.192
1915,1,-7.800,0.016
1915,2,-5.600,1.916
1915,3,-3.600,-0.996
1915,4,2.200,-2.468
1915,5,5.400,-5.208
1915,6,14.500,0.258
1915,7,15.100,-3.308
1915,8,19.200,-0.593
1915,9,17.500,1.330
1915,10,10.500,0.926
1915,11,2.700,0.475
1915,12,-2.000,1.908
1916,1,-5.500,2.316
1916,2,-5.900,1.616
1916,3,-2.900,-0.296
