Identifiant;Commémoré;Adresse complète;Précision adresse;Code postal;xy
1211.0;Eleves de ces ecoles morts en déportation parce que nés juifs;103 avenue Gambetta 75020 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75020.0;48.866818, 2.399962
32.0;Louis BRELIVET;5, place des Petits- Pères 75002 Paris;(poste de police);75002.0;48.866464, 2.340688
43.0;Eleves de ces ecoles morts en déportation parce que nés juifs;5 rue de la Jussienne 75002 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75002.0;48.865347, 2.3442
85.0;Eleves de ces ecoles morts en déportation parce que nés juifs;10bis rue des Quatre-Fils 75003 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75003.0;48.860401, 2.360173
95.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Stèle square du temple 75003 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75003.0;48.864589, 2.360685
157.0;Jean-claude DIAMANT-BERGER;288 rue Saint-Jacques 75005 Paris;NULL;75005.0;48.841344, 2.341146
182.0;Eleves de ces ecoles morts en déportation parce que nés juifs;27 rue de Poissy 75005 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75005.0;48.848586, 2.352272
408.0;Deux FRANCAIS INCONNUS;Gare de l'Est Départ grandes lignes 75010 Paris;(façade);75010.0;48.878422, 2.35764
559.0;Eleves de ces ecoles morts en déportation parce que nés juifs;31 rue saint-Bernard 75011 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75011.0;48.852711, 2.380878
578.0;LIBERATION DE PARIS;3, rue Villiot 75012 Paris;NULL;75012.0;48.841472, 2.375017
675.0;MEMORIAL;Pitié-Salpàªtrière 75013 Paris;NULL;75013.0;48.82271, 2.346137
826.0;Eleves de ces ecoles morts en déportation parce que nés juifs;Collège georges Duhamel 13 rue des Volontaires 75015 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75015.0;48.842654, 2.307228
980.0;Eleves de ces ecoles morts en déportation parce que nés juifs;135 rue Belliard 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.896203, 2.334475
994.0;Eleves de ces ecoles morts en déportation parce que nés juifs;6 rue Jean François Lépine 75018 Paris;(plaques en plexiglass a l'extérieur et a l'interieur des ecoles);75018.0;48.886181, 2.358717
1045.0;Enfants JUIFS;70, avenue Secrétan 75019 Paris;NULL;75019.0;48.879696, 2.37659
1098.0;Henri BEKERMAN;21, rue de Tourtille 75020 Paris;(en depot au bureau des monuments);75020.0;48.871238, 2.381228
287.0;Pierre LASALLA;51, boulevard de la Tour-Maubourg 75007 Paris;NULL;75007.0;48.856722, 2.309938
314.0;SYNDICAT DES FONCTIONNAIRES;10, rue de Solférino 75007 Paris;NULL;75007.0;48.859595, 2.3229889999999997
514.0;Maurice RADZYNSKI;59 rue Jean-Pierre Timbaud 75011 Paris;NULL;75011.0;48.867048, 2.374711
873.0;TOUNY;1, rue du Général Langlois 75016 Paris;NULL;75016.0;48.863536, 2.278466
65.0;René LE PAPE;150, rue du Temple 75003 Paris;NULL;75003.0;48.86429, 2.35929
110.0;Colonne Commandée Par Le Capitaine Dronne DRONNE;;NULL;75004.0;48.851745, 2.355582
130.0;Joseph MIGNERET;8, rue des Hospitaliers Saint- Gervais Ecole communale Saint-Gervais 75004 Paris;NULL;75004.0;48.857943, 2.358936
177.0;René VINCHON;27, rue Saint- Jacques 75005 Paris;NULL;75005.0;48.851366, 2.345951
